county,population
Los Angeles,10072629
San Diego,3359630
Orange,3240017
Riverside,2486747
San Bernardino,2225586
Santa Clara,1982645
Alameda,1733977
Sacramento,1634936
Contra Costa,1200997
Fresno,1032114
Kern,930115
San Francisco,894584
Ventura,849999
San Joaquin,807412
San Mateo,778239
Stanislaus,564404
Sonoma,490357
Tulare,482399
Solano,465536
Santa Barbara,455528
Monterey,446229
Placer,421632
Merced,288825
San Luis Obispo,286261
Santa Cruz,273405
Marin,265294
Yolo,221068
Butte,209121
El Dorado,194224
Shasta,183634
Imperial,181253
Madera,157872
Kings,152336
Napa,138481
Humboldt,137015
Nevada,103285
Sutter,101103
Mendocino,92729
Yuba,84401
Lake,69213
San Benito,66891
Tehama,66540
Tuolumne,55698
Calaveras,45205
Siskiyou,43830
Amador,41188
Lassen,32082
Glenn,29157
Del Norte,27482
Colusa,21965
Plumas,19724
Inyo,19157
Trinity,16811
Mariposa,16795
Mono,12892
Modoc,8403
Sierra,3236
Alpine,1213
